"from","to","amount","timestamp"
"acct_0542","acct_0739",0.0000010000,"2025-12-17 01:29:56.977+03"
"acct_0066","acct_0623",0.0000010000,"2025-12-17 01:33:08.573+03"
"acct_0066","acct_0469",0.0000010000,"2025-12-17 01:33:08.573+03"
"acct_0140","acct_0148",0.0000010000,"2025-12-17 01:43:36.145+03"
"acct_0140","acct_0675",0.0000010000,"2025-12-17 01:43:36.145+03"
"acct_0140","acct_0116",0.0000010000,"2025-12-17 01:43:36.145+03"
"acct_0915","acct_0787",0.0000010000,"2025-12-17 01:51:42.169+03"
"acct_0113","acct_0270",0.0000010000,"2025-12-17 01:52:19.546+03"
"acct_0113","acct_0385",0.0000010000,"2025-12-17 01:52:19.546+03"
"acct_0017","acct_0122",0.0000010000,"2025-12-17 01:56:47.556+03"
"acct_0297","acct_0186",0.0000010000,"2025-12-17 01:58:13.804+03"
"acct_0297","acct_0604",0.0000010000,"2025-12-17 01:58:13.804+03"
"acct_0178","acct_0242",0.0000010000,"2025-12-17 02:00:58.336+03"
"acct_0463","acct_0014",0.0000010000,"2025-12-17 02:11:39.154+03"
"acct_0463","acct_0098",0.0000010000,"2025-12-17 02:11:39.154+03"
"acct_0463","acct_0955",0.0000010000,"2025-12-17 02:11:39.154+03"
"acct_0719","acct_0058",0.0000010000,"2025-12-17 02:13:21.942+03"
"acct_0098","acct_0934",0.0000010000,"2025-12-17 02:32:10.598+03"
"acct_0098","acct_0026",0.0000010000,"2025-12-17 02:32:10.598+03"
"acct_0098","acct_0059",0.0000010000,"2025-12-17 02:32:10.598+03"
"acct_0440","acct_0620",0.0000010000,"2025-12-17 02:36:17.505+03"
"acct_0407","acct_0471",0.0000010000,"2025-12-17 02:47:26.142+03"
"acct_0045","acct_0994",0.0000010000,"2025-12-17 02:55:20.863+03"
"acct_0668","acct_0546",0.0000010000,"2025-12-17 02:59:24.243+03"
"acct_0668","acct_0406",0.0000010000,"2025-12-17 02:59:24.243+03"
"acct_0971","acct_0249",0.0000010000,"2025-12-17 03:21:59.728+03"
"acct_0971","acct_0294",0.0000010000,"2025-12-17 03:21:59.728+03"
"acct_0651","acct_0434",0.0000010000,"2025-12-17 04:13:10.768+03"
"acct_0750","acct_0677",0.0000010000,"2025-12-17 04:21:28.487+03"
"acct_0750","acct_0834",0.0000010000,"2025-12-17 04:21:28.487+03"
"acct_0750","acct_0962",0.0000010000,"2025-12-17 04:21:28.487+03"
"acct_0750","acct_0772",0.0000010000,"2025-12-17 04:21:28.487+03"
"acct_0750","acct_0757",0.0000010000,"2025-12-17 04:21:28.487+03"
"acct_0488","acct_0085",0.0000010000,"2025-12-17 04:22:18.815+03"
"acct_0488","acct_0071",0.0000010000,"2025-12-17 04:22:18.815+03"
"acct_0904","acct_0612",0.0000010000,"2025-12-17 04:46:56.778+03"
"acct_0117","acct_0329",0.0000010000,"2025-12-17 05:06:41.997+03"
"acct_0117","acct_0001",0.0000010000,"2025-12-17 05:06:41.997+03"
"acct_0117","acct_0109",0.0000010000,"2025-12-17 05:06:41.997+03"
"acct_0101","acct_0737",0.0000010000,"2025-12-17 19:21:14.589+03"
"acct_0101","acct_0158",0.0000010000,"2025-12-17 19:21:14.589+03"
"acct_0845","acct_0957",0.0000010000,"2025-12-17 19:22:00.767+03"
"acct_0413","acct_0980",0.0000010000,"2025-12-17 19:28:17.834+03"
"acct_0554","acct_0891",0.0000010000,"2025-12-17 19:41:27.162+03"
"acct_0091","acct_0825",0.0000010000,"2025-12-17 19:44:45.821+03"
"acct_0091","acct_0866",0.0000010000,"2025-12-17 19:44:45.821+03"
"acct_0813","acct_0117",0.0000010000,"2025-12-17 19:46:57.472+03"
"acct_0455","acct_0804",0.0000010000,"2025-12-17 19:50:16.36+03"
"acct_0455","acct_0040",0.0000010000,"2025-12-17 19:50:16.36+03"
"acct_0280","acct_0896",0.0000010000,"2025-12-17 19:50:55.498+03"
"acct_0453","acct_0915",0.0000010000,"2025-12-17 19:51:35+03"
"acct_0453","acct_0775",0.0000010000,"2025-12-17 19:51:35+03"
"acct_0657","acct_0677",0.0000010000,"2025-12-17 19:52:25.948+03"
"acct_0657","acct_0353",0.0000010000,"2025-12-17 19:52:25.948+03"
